,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
0,14.0,4.0,Leona,Side.blue,9.0,0.0,63.0,0.0,9.0,,1.0,11.0,39.0,17876.0,0.0,59.0,13802,5933,Other,Few
1,1.0,4.0,Ashe,Side.red,,4885.0,9190.0,4885.0,5.0,2.0,3.0,14.0,26.0,17148.0,3.0,24.0,84282,10168,Other,Many
2,4.0,12.0,,Side.blue,13.0,1871.0,,1871.0,7.0,3.571428571,12.0,14.0,34.0,26211.0,1.0,29.0,109405,12038,Other,Many
3,4.0,11.0,Nunu,Side.red,6.0,0.0,4920.0,0.0,6.0,1.5,3.0,12.0,21.0,22136.0,0.0,29.0,109911,7570,TopLane_Jungle,Few
4,4.0,14.0,Nautilus,Side.blue,2.0,0.0,0.0,0.0,3.0,1.0,1.0,8.0,14.0,6680.0,0.0,20.0,17853,4377,Other,Few
5,4.0,12.0,Graves,Side.blue,9.0,5749.0,15015.0,5749.0,9.0,1.5555555559999998,5.0,,20.0,25928.0,2.0,19.0,180588,13221,Other,Many
6,4.0,14.0,Lulu,Side.red,19.0,720.0,3379.0,720.0,9.0,2.222222222,,12.0,33.0,15711.0,0.0,59.0,18443,8140,Other,Few
7,14.0,12.0,Akali,Side.blue,6.0,0.0,0.0,0.0,5.0,2.8,8.0,,2.0,14934.0,0.0,14.0,61170,8522,Other,Many
8,6.0,,Hecarim,Side.blue,2.0,0.0,2971.0,0.0,4.0,0.5,0.0,9.0,7.0,14499.0,0.0,12.0,72549,4876,TopLane_Jungle,Few
9,4.0,11.0,Kindred,Side.red,6.0,,20655.0,451.0,5.0,1.6,2.0,12.0,2.0,19406.0,1.0,24.0,116340,8484,TopLane_Jungle,Few
10,12.0,4.0,Poppy,Side.red,8.0,4944.0,7334.0,4944.0,6.0,2.0,4.0,15.0,35.0,21993.0,1.0,22.0,96700,9861,TopLane_Jungle,Many
11,,4.0,Karma,Side.red,,,2338.0,802.0,3.0,4.333333333,1.0,11.0,21.0,,0.0,47.0,17182,6639,Other,Few
12,14.0,12.0,Gwen,Side.blue,6.0,6202.0,15216.0,6202.0,7.0,3.0,15.0,18.0,12.0,51957.0,2.0,45.0,261314,18542,TopLane_Jungle,Many
13,3.0,4.0,Senna,Side.blue,16.0,1826.0,14087.0,1826.0,10.0,2.3,7.0,16.0,26.0,27102.0,1.0,,89787,13272,Other,Few
14,14.0,4.0,Nami,Side.red,14.0,176.0,506.0,176.0,8.0,1.875,1.0,13.0,27.0,16891.0,1.0,48.0,11210,7744,Other,Few
