,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
0,14.0,4.0,Leona,Side.blue,6.0,,0.0,0.0,6.0,1.3333333333333333,,9.0,23.0,9404.0,0.0,47.0,15214,6043,Other,Few
1,,4.0,Udyr,,8.0,547.0,46480.0,547.0,3.0,6.666666666666668,12.0,16.0,32.0,25782.0,,20.0,194463,12919,TopLane_Jungle,Few
2,14.0,4.0,Xerath,Side.red,2.0,168.0,444.0,168.0,7.0,,0.0,10.0,22.0,14079.0,0.0,38.0,34038,5641,Other,Few
3,14.0,4.0,Zoe,Side.red,8.0,,3082.0,2492.0,3.0,5.0,7.0,14.0,29.0,11128.0,2.0,,94369,10688,Other,Many
4,4.0,12.0,Camille,Side.red,8.0,6419.0,,6419.0,5.0,4.2,13.0,15.0,25.0,20404.0,2.0,24.0,110580,12368,TopLane_Jungle,Many
5,4.0,14.0,Alistar,Side.red,14.0,625.0,1144.0,625.0,3.0,5.0,1.0,11.0,37.0,11112.0,0.0,30.0,17852,6471,Other,Few
6,14.0,4.0,Thresh,Side.red,,529.0,850.0,529.0,6.0,3.6666666666666665,2.0,13.0,39.0,17838.0,0.0,63.0,20610,8208,Other,Few
7,3.0,4.0,Xayah,,9.0,3657.0,16688.0,3657.0,5.0,3.6,9.0,17.0,18.0,20799.0,,38.0,244314,16108,Other,Many
8,4.0,12.0,Sylas,Side.blue,10.0,7724.0,9580.0,7724.0,4.0,,10.0,14.0,27.0,28866.0,2.0,11.0,116207,10734,Other,Many
9,11.0,4.0,XinZhao,Side.blue,2.0,1322.0,14485.0,1322.0,7.0,1.4285714285714286,8.0,12.0,14.0,25643.0,1.0,24.0,110857,10050,TopLane_Jungle,Few
10,3.0,,Jhin,Side.blue,2.0,459.0,2081.0,459.0,9.0,0.4444444444444444,,9.0,12.0,13083.0,0.0,7.0,46588,5453,Other,Few
11,11.0,,Graves,Side.red,2.0,0.0,6259.0,0.0,5.0,0.8,2.0,11.0,11.0,16934.0,0.0,21.0,96989,6614,TopLane_Jungle,Few
12,3.0,4.0,Jhin,Side.blue,2.0,1123.0,1123.0,1123.0,9.0,0.8888888888888888,6.0,12.0,15.0,,1.0,12.0,87263,9756,Other,Many
13,4.0,1.0,Draven,Side.blue,3.0,9381.0,41009.0,9381.0,3.0,5.333333333333333,13.0,17.0,11.0,19553.0,1.0,32.0,282267,19293,Other,Many
14,12.0,4.0,Renekton,Side.blue,3.0,4207.0,5705.0,4207.0,4.0,1.75,4.0,13.0,12.0,20290.0,2.0,6.0,102586,9121,TopLane_Jungle,Many
15,12.0,4.0,Irelia,Side.red,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,,18866.0,0.0,10.0,56950,5187,Other,Many
16,4.0,7.0,Jinx,Side.red,4.0,8087.0,19273.0,,7.0,1.1428571428571428,4.0,12.0,5.0,14182.0,2.0,,93070,9569,Other,Many
17,14.0,,Lux,Side.blue,16.0,378.0,836.0,378.0,9.0,2.2222222222222223,4.0,13.0,39.0,15759.0,0.0,79.0,56386,9156,Other,Few
18,12.0,4.0,Lucian,Side.red,9.0,5276.0,17111.0,5276.0,9.0,2.333333333333333,12.0,18.0,10.0,32040.0,0.0,27.0,254391,18569,TopLane_Jungle,Many
19,7.0,4.0,Kaisa,Side.blue,8.0,2614.0,2947.0,2614.0,8.0,1.5,4.0,14.0,0.0,19634.0,1.0,28.0,141198,11476,Other,Many
20,12.0,4.0,Irelia,Side.red,3.0,1534.0,5413.0,1534.0,6.0,1.0,3.0,14.0,10.0,16442.0,0.0,30.0,123007,10306,TopLane_Jungle,Many
21,14.0,4.0,Galio,Side.red,5.0,4787.0,5337.0,4787.0,2.0,9.5,14.0,13.0,22.0,11465.0,1.0,15.0,91125,11236,Other,Many
22,1.0,4.0,Kaisa,Side.blue,8.0,4496.0,21194.0,4496.0,4.0,3.5,6.0,15.0,1.0,13962.0,,20.0,191159,12966,Other,Many
