,d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed
0,4.0,12.0,Ziggs,Side.red,11.0,26494.0,29466.0,26494.0,8.0,2.375,8.0,16.0,19.0,17752.0,5.0,17.0,180966,13756,Other,Many
1,4.0,14.0,Nautilus,Side.blue,18.0,133.0,1139.0,133.0,4.0,5.5,4.0,15.0,66.0,22332.0,0.0,84.0,35696,10106,Other,Few
2,14.0,4.0,Kindred,Side.red,6.0,2578.0,6804.0,2578.0,12.0,0.9166666666666666,5.0,,2.0,32296.0,0.0,27.0,180014,12339,Other,Many
3,3.0,4.0,Jinx,Side.red,7.0,18554.0,32103.0,,5.0,4.2,14.0,15.0,21.0,17453.0,6.0,36.0,206803,16061,Other,Many
4,4.0,11.0,LeeSin,Side.blue,4.0,0.0,3419.0,0.0,4.0,1.5,2.0,10.0,10.0,18409.0,0.0,9.0,59584,5811,TopLane_Jungle,Few
5,12.0,4.0,Fiora,Side.red,6.0,4265.0,7501.0,4265.0,6.0,2.5,9.0,17.0,4.0,36504.0,3.0,51.0,170880,15076,TopLane_Jungle,Many
6,4.0,3.0,Aphelios,Side.blue,2.0,,969.0,969.0,4.0,1.25,3.0,12.0,11.0,10676.0,0.0,16.0,83603,8739,Other,Many
7,14.0,12.0,Akali,Side.red,6.0,5911.0,6461.0,5911.0,8.0,,9.0,17.0,,28018.0,3.0,22.0,112204,12658,TopLane_Jungle,Many
8,3.0,4.0,Soraka,Side.blue,3.0,46.0,46.0,46.0,3.0,1.3333333333333333,1.0,8.0,18.0,5612.0,0.0,23.0,12614,4068,Other,Few
9,12.0,4.0,Syndra,Side.blue,5.0,492.0,492.0,492.0,9.0,0.8888888888888888,3.0,12.0,24.0,17272.0,0.0,11.0,68845,7464,Other,Many
10,4.0,14.0,,Side.red,6.0,8615.0,9333.0,8615.0,2.0,6.5,7.0,14.0,25.0,6370.0,4.0,17.0,120804,10993,Other,Many
11,4.0,14.0,Lulu,Side.red,11.0,841.0,1250.0,841.0,6.0,2.333333333333333,3.0,9.0,14.0,9874.0,0.0,39.0,19471,6232,Other,Few
12,14.0,12.0,Jax,Side.red,1.0,5263.0,12239.0,5263.0,4.0,1.5,5.0,15.0,15.0,19230.0,1.0,22.0,121448,11810,TopLane_Jungle,Many
13,3.0,4.0,Lux,Side.blue,15.0,440.0,2095.0,440.0,6.0,2.5,0.0,12.0,36.0,9557.0,0.0,67.0,16547,7363,Other,Few
14,,4.0,Lulu,Side.red,16.0,541.0,613.0,541.0,6.0,2.833333333333333,1.0,12.0,44.0,13153.0,0.0,49.0,14799,7533,Other,Few
15,11.0,4.0,Nidalee,Side.blue,12.0,3401.0,26484.0,3401.0,,6.0,6.0,13.0,1.0,21142.0,1.0,18.0,130758,9414,TopLane_Jungle,Few
16,4.0,12.0,Malphite,Side.red,22.0,2207.0,2831.0,2207.0,5.0,5.6,,18.0,40.0,34335.0,0.0,20.0,152647,13809,Other,Many
17,,6.0,Tryndamere,Side.blue,7.0,10914.0,21747.0,10914.0,6.0,,8.0,17.0,7.0,35778.0,3.0,31.0,199441,15895,TopLane_Jungle,Many
18,4.0,11.0,Olaf,Side.blue,8.0,3113.0,35863.0,3113.0,8.0,2.5,12.0,16.0,17.0,37628.0,0.0,16.0,202861,14494,TopLane_Jungle,Few
19,12.0,4.0,Syndra,,16.0,4584.0,8444.0,4584.0,5.0,5.0,9.0,15.0,,16080.0,0.0,31.0,145162,13902,Other,Many
20,4.0,14.0,Nautilus,Side.blue,17.0,262.0,262.0,262.0,9.0,2.2222222222222223,3.0,13.0,83.0,31168.0,0.0,92.0,27260,9948,Other,Few
21,4.0,14.0,Karma,Side.red,9.0,712.0,2488.0,712.0,11.0,0.8181818181818182,0.0,12.0,17.0,21051.0,1.0,42.0,28876,6683,Other,Few
22,7.0,4.0,Senna,Side.blue,,1496.0,1496.0,1496.0,8.0,2.5,8.0,15.0,27.0,27962.0,0.0,60.0,71451,12201,Other,Few
23,11.0,4.0,Viego,Side.red,13.0,0.0,16591.0,0.0,0.0,15.0,2.0,14.0,17.0,21378.0,0.0,23.0,131450,9777,TopLane_Jungle,Few
